episode,reward
1,96.0
2,45.0
3,50.0
4,46.0
5,49.0
6,72.0
7,44.0
8,53.0
9,46.0
10,51.0
11,48.0
12,52.0
13,53.0
14,51.0
15,52.0
16,51.0
17,49.0
18,47.0
19,51.0
20,53.0
21,50.0
22,52.0
23,52.0
24,92.0
25,54.0
26,80.0
27,54.0
28,68.0
29,124.0
30,99.0
31,55.0
32,53.0
33,49.0
34,43.0
35,51.0
36,52.0
37,48.0
38,55.0
39,47.0
40,55.0
41,56.0
42,67.0
43,52.0
44,40.0
45,48.0
46,52.0
47,54.0
48,56.0
49,127.0
50,43.0
51,53.0
52,52.0
53,96.0
54,56.0
55,53.0
56,52.0
57,52.0
58,148.0
59,55.0
60,51.0
61,53.0
62,49.0
63,55.0
64,99.0
65,51.0
66,55.0
67,52.0
68,53.0
69,53.0
70,49.0
71,55.0
72,52.0
73,49.0
74,49.0
75,53.0
76,145.0
77,55.0
78,50.0
79,67.0
80,50.0
81,46.0
82,50.0
83,55.0
84,54.0
85,52.0
86,99.0
87,51.0
88,55.0
89,52.0
90,55.0
91,53.0
92,49.0
93,54.0
94,95.0
95,47.0
96,49.0
97,66.0
98,90.0
99,53.0
100,60.0
101,96.0
102,52.0
103,51.0
104,52.0
105,56.0
106,54.0
107,93.0
108,51.0
109,93.0
110,55.0
111,46.0
112,54.0
113,53.0
114,49.0
115,53.0
116,97.0
117,138.0
118,100.0
119,50.0
120,99.0
121,79.0
122,47.0
123,98.0
124,51.0
125,56.0
126,52.0
127,54.0
128,52.0
129,52.0
130,51.0
131,55.0
132,85.0
133,53.0
134,96.0
135,46.0
136,53.0
137,101.0
138,53.0
139,50.0
140,122.0
141,54.0
142,148.0
143,51.0
144,52.0
145,42.0
146,50.0
147,55.0
148,55.0
149,49.0
150,47.0
151,91.0
152,140.0
153,45.0
154,91.0
155,48.0
156,140.0
157,96.0
158,98.0
159,52.0
160,85.0
161,123.0
162,55.0
163,50.0
164,56.0
165,52.0
166,45.0
167,40.0
168,94.0
169,51.0
170,96.0
171,51.0
172,80.0
173,52.0
174,50.0
175,96.0
176,96.0
177,52.0
178,54.0
179,47.0
180,49.0
181,97.0
182,52.0
183,54.0
184,43.0
185,52.0
186,55.0
187,87.0
188,91.0
189,52.0
190,49.0
191,190.0
192,90.0
193,97.0
194,49.0
195,98.0
196,470.0
197,143.0
198,53.0
199,46.0
200,52.0
201,55.0
202,48.0
203,53.0
204,55.0
205,49.0
206,51.0
207,184.0
208,45.0
209,52.0
210,97.0
211,90.0
212,47.0
213,51.0
214,55.0
215,96.0
216,102.0
217,100.0
218,95.0
219,54.0
220,55.0
221,51.0
222,47.0
223,178.0
224,332.0
225,49.0
226,51.0
227,54.0
228,54.0
229,48.0
230,51.0
231,52.0
232,219.0
233,51.0
234,272.0
235,42.0
236,81.0
237,95.0
238,54.0
239,52.0
240,144.0
241,87.0
242,55.0
243,96.0
244,55.0
245,46.0
246,51.0
247,95.0
248,140.0
249,88.0
250,96.0
251,100.0
252,50.0
253,55.0
254,95.0
255,54.0
256,50.0
257,93.0
258,110.0
259,54.0
260,98.0
261,54.0
262,56.0
263,51.0
264,54.0
265,47.0
266,50.0
267,96.0
268,95.0
269,55.0
270,145.0
271,96.0
272,52.0
273,52.0
274,55.0
275,60.0
276,98.0
277,44.0
278,100.0
279,55.0
280,55.0
281,129.0
282,183.0
283,96.0
284,96.0
285,323.0
286,88.0
287,53.0
288,140.0
289,86.0
290,46.0
291,51.0
292,53.0
293,96.0
294,52.0
295,98.0
296,82.0
297,92.0
298,140.0
299,54.0
300,183.0
301,96.0
302,55.0
303,95.0
304,140.0
305,51.0
306,49.0
307,90.0
308,51.0
309,155.0
310,51.0
311,285.0
312,139.0
313,277.0
314,272.0
315,50.0
316,84.0
317,54.0
318,93.0
319,96.0
320,51.0
321,139.0
322,96.0
323,53.0
324,137.0
325,102.0
326,52.0
327,327.0
328,96.0
329,51.0
330,94.0
331,279.0
332,228.0
333,96.0
334,51.0
335,228.0
336,227.0
337,52.0
338,143.0
339,184.0
340,46.0
341,139.0
342,95.0
343,53.0
344,139.0
345,144.0
346,190.0
347,272.0
348,98.0
349,118.0
350,492.0
351,96.0
352,219.0
353,272.0
354,140.0
355,140.0
356,96.0
357,98.0
358,298.0
359,271.0
360,138.0
361,233.0
362,52.0
363,140.0
364,181.0
365,95.0
366,96.0
367,53.0
368,401.0
369,278.0
370,360.0
371,227.0
372,139.0
373,184.0
374,139.0
375,90.0
376,53.0
